sample_id,method,content,reference,prediction
valid_000009,Randeng-Pegasus-238M-Summary-Chinese,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行了约谈。截止昨日晚9点，包括北京梅赛德斯-奔驰销售服务有限公司东区总经理在内的多名管理人员仍留在上海办公室内,发改委反垄断调查小组突击调查奔驰上海办事处,奔驰上海办事处被约谈多名管理人员仍留在上海办公室内
valid_000010,Randeng-Pegasus-238M-Summary-Chinese,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都耳熟能详的口号：我是查理。这名伊斯兰教先知的头顶上还写着一句话：宽恕与原谅。该封面的作者上周因为迟到逃过一劫。,巴黎查理周刊最新一期封面（图）,《查理周刊》公布“幸存者专刊”
valid_000011,Randeng-Pegasus-238M-Summary-Chinese,步入深水区的房地产调控政策走向，再度引发官媒聚焦。15日，新华社旗下《经济参考报》报道称，相关内部会议透露，将加快研究包括土地、金融、财税等方面的房地产中长期调控政策。“去行政化”将成为未来调控方向。,官媒吹风房地产调控长效机制：去行政化成主基调,新华社：“去行政化”将成未来调控方向
valid_000012,Randeng-Pegasus-238M-Summary-Chinese,昨天，上海女子教育联盟和上海开放大学女子学院成立揭牌。上海开放大学女子学院国顺路、中山西路院区以及首批试点的闵行区、闸北区和长宁区学习中心，都已推出首期学习菜单。上海市妇联有关人士表示，男性也可以报名参加学习。,女子大学成立男性也可报名,上海开放大学女子学院揭牌男性可报名学习
valid_000013,Randeng-Pegasus-238M-Summary-Chinese,“小酒”在白酒行业调整期内备受酒企的热爱。在此次糖酒会上，更是作为一个“主角”登上酒企的展位。而据本报记者了解，本届成都糖酒会上，包括西凤、五粮液、川源、衡水老白干、双沟等都推出了自己的新款小酒。,鏖战糖酒会小酒今年市场规模有望破100亿元,成都糖酒会“小酒”亮相
valid_000014,Randeng-Pegasus-238M-Summary-Chinese,撰写学术论文和学术专著规则之一，就是要尽量紧扣论题，无关本题的话说得太多超过了极限，谓之“掺水”。《明代大慈法王研究》硬是把两三篇论文就能搞定的内容极不自然地抻拉成一本专著，这种态度非常成问题。这样的“掺水专著”居然还能获奖，让人无法理解,掺水专著居然能获奖,这样的“掺水专著”居然还能获奖，让人无法理解
valid_000015,Randeng-Pegasus-238M-Summary-Chinese,沙特王子阿尔瓦利德·本·塔拉尔表示，他赞同政府不减产的决定，因为减产会让沙特“赔了夫人又折兵”。他指出OPEC国家不可能达成一致的减产协议，因为“沙特信不过其他国家”。“我确信我们再也看不到油价回到100美元了。”,沙特王子重申不减产美国页岩革命命悬一线,沙特王子阿尔瓦利德：减产协议让沙特赔了夫人又折兵
valid_000016,Randeng-Pegasus-238M-Summary-Chinese,昨天，杭城最高气温又达到了28.4℃，今天最高气温可能冲到30℃。不过明天到后天有一股强冷空气来袭，杭州明天小雨转阴，气温19-26℃。秋雨寒，出门最好还是备把伞。随着冷空气的渗透，后天会是本周最凉的一天，气温16-21℃。,明后天有冷空气南下后天最高气温降到21℃,冷空气来袭杭州明天小雨转阴气温19-26
valid_000017,Randeng-Pegasus-238M-Summary-Chinese,"马云说过：""""打败你的不是技术，可能只是一份文件""""。面对市场创新带来的风险，有关部门的理念需要调整，也要坚持“市场决定”的原则，提高风险管控的艺术。具体到互联网金融来说，只要把握住系统性风险这个上限不放松，何须太多父爱？""",不要用“文件”打败“中国创新”,马云：互联网金融要坚持“市场决定”原则
valid_000018,Randeng-Pegasus-238M-Summary-Chinese,副组长李克强、刘云山、张高丽出席。会议审议通过了《中央全面深化改革领导小组工作规则》;审议通过了经济体制和生态文明体制改革、民主法制领域改革、文化体制改革、社会体制改革、党的建设制度改革、纪律检查体制改革6个专项小组名单,习近平主持召开中央全面深化改革领导小组首次会议,体制改革6个专项小组名单
valid_000019,Randeng-Pegasus-238M-Summary-Chinese,昨日有消息称，目前已经有两家拟IPO企业接到了监管层的“封卷”通知，下一步则是等待批文下放。这意味着两家公司可择日上市，而IPO也将重新开闸，成为了昨日市场下跌主因。但事实上，封卷远不能跟获得发行批文，乃至完成上市程序挂钩。,IPO重启闪了大盘的腰,ipo“封卷”或成昨日市场下跌主因
valid_000020,Randeng-Pegasus-238M-Summary-Chinese,在三环路羊犀立交桥公交站旁，一位留着红色波波头、穿着粉红套裙的“女士”在此摆摊卖卫生巾。一旦有人照顾生意，一句粗犷低沉的“谢谢”让女顾客们吓了一跳：原来，卖家是一位男士。他的女儿得了白血病，家境赤贫的他希望借此筹钱为女儿看病。,父亲扮女人卖卫生巾筹钱救女儿,男子摆摊卖卫生巾为白血病女儿筹钱治病
